source,packId,phase,ply,spineDepth,mainLine,pieceCount,legalCount,band,since,until,speeds,total,white,draws,black,movesGE100,movesGE400,topMoves,fen
main,anti-caro-advance-early-c5,opening,12,6,True,31,36,1800,2024-01,2026-07,blitz+rapid+classical,9939,5899,348,3692,8,5,Be3:4774:3220/161/1393;b4:2567:1422/89/1056;Bb5:1243:695/42/506;Bf4:414:162/20/232;Be2:393:135/22/236;Nbd2:155:84/6/65;Qa4:146:68/4/74;h3:122:52/2/68;Bd3:49:28/0/21;Bg5:20:9/1/10;Qb3:17:9/0/8;a3:14:7/0/7,r2qkbnr/pp3ppp/2n1p3/2PpP3/6b1/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 7
main,anti-caro-advance-early-c5,opening,13,7,True,31,42,1400,2024-01,2026-07,blitz+rapid+classical,1607,898,57,652,5,1,Nxe5:766:440/37/289;a5:267:134/4/129;Nge7:206:106/6/94;Bxf3:188:106/5/77;a6:106:65/1/40;b6:31:19/3/9;Qc7:12:8/0/4;d4:11:7/0/4;Be7:5:2/0/3;b5:3:2/0/1;Rc8:3:3/0/0;Nh6:3:2/1/0,r2qkbnr/pp3ppp/2n1p3/2PpP3/1P4b1/2P2N2/P4PPP/RNBQKB1R b KQkq - 0 7
main,anti-caro-advance-early-c5,opening,13,7,True,31,42,1600,2024-01,2026-07,blitz+rapid+classical,2229,1251,72,906,5,1,Nxe5:1144:707/32/405;a5:379:188/9/182;Bxf3:287:139/13/135;Nge7:194:97/11/86;a6:132:66/5/61;b6:38:24/0/14;Qc7:19:9/1/9;d4:10:6/0/4;g6:5:4/0/1;f6:5:3/0/2;Be7:4:2/0/2;h6:3:3/0/0,r2qkbnr/pp3ppp/2n1p3/2PpP3/1P4b1/2P2N2/P4PPP/RNBQKB1R b KQkq - 0 7
main,anti-caro-advance-early-c5,opening,13,7,True,31,42,1800,2024-01,2026-07,blitz+rapid+classical,2661,1469,95,1097,5,2,Nxe5:1470:909/43/518;Bxf3:543:249/29/265;a5:287:120/6/161;Nge7:140:78/2/60;a6:138:67/9/62;Qc7:27:15/1/11;b6:24:17/1/6;g6:17:5/2/10;d4:12:6/2/4;Be7:1:1/0/0;f6:1:1/0/0;Nxb4:1:1/0/0,r2qkbnr/pp3ppp/2n1p3/2PpP3/1P4b1/2P2N2/P4PPP/RNBQKB1R b KQkq - 0 7
main,anti-caro-advance-early-c5,opening,8,2,False,31,39,1400,2024-01,2026-07,blitz+rapid+classical,15908,7173,582,8153,11,7,Be3:4487:2151/154/2182;b4:3936:1726/161/2049;Nf3:2965:1266/100/1599;Bb5+:1250:477/50/723;a3:722:423/19/280;Nc3:618:251/26/341;c4:491:218/20/253;f4:371:157/11/203;Qd4:302:142/15/145;c3:192:85/9/98;Bd3:104:66/3/35;Qg4:88:51/4/33,rnbqkbnr/pp3ppp/4p3/2PpP3/8/8/PPP2PPP/RNBQKBNR w KQkq - 0 5
main,anti-caro-advance-early-c5,opening,8,2,False,31,39,1600,2024-01,2026-07,blitz+rapid+classical,21110,9750,767,10593,12,8,Be3:6082:2953/242/2887;b4:5648:2521/202/2925;Nf3:3417:1545/119/1753;a3:1979:1003/73/903;Bb5+:1151:452/39/660;f4:578:226/20/332;c4:537:253/18/266;Nc3:485:191/14/280;c3:365:178/13/174;Qd4:206:97/7/102;Bd3:190:100/8/82;Qg4:160:89/3/68,rnbqkbnr/pp3ppp/4p3/2PpP3/8/8/PPP2PPP/RNBQKBNR w KQkq - 0 5
main,anti-caro-advance-early-c5,opening,8,2,False,31,39,1800,2024-01,2026-07,blitz+rapid+classical,36573,17353,1724,17496,12,11,Be3:11854:5628/568/5658;b4:6762:2920/347/3495;a3:5967:3129/269/2569;Nf3:5691:2714/266/2711;Bb5+:1303:551/62/690;c3:1019:497/42/480;f4:922:408/40/474;c4:896:438/55/403;Qg4:675:357/25/293;Bd3:494:276/11/207;Nc3:410:171/19/220;Qd4:244:89/8/147,rnbqkbnr/pp3ppp/4p3/2PpP3/8/8/PPP2PPP/RNBQKBNR w KQkq - 0 5
main,anti-caro-advance-early-c5,opening,9,3,False,31,32,1400,2024-01,2026-07,blitz+rapid+classical,5002,2425,175,2402,6,3,Nc6:2291:1169/77/1045;Nd7:1430:604/57/769;Qa5+:723:383/27/313;Bxc5:126:82/3/41;Ne7:116:48/1/67;Qc7:111:46/3/62;a6:55:22/3/30;Nh6:42:14/1/27;b6:31:17/1/13;Na6:22:7/0/15;Bd7:17:10/1/6;f6:17:9/0/8,rnbqkbnr/pp3ppp/4p3/2PpP3/8/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 5
main,anti-caro-advance-early-c5,opening,9,3,False,31,32,1600,2024-01,2026-07,blitz+rapid+classical,6535,3170,264,3101,5,3,Nc6:2681:1357/123/1201;Nd7:2450:1059/94/1297;Qa5+:763:436/28/299;Qc7:169:68/7/94;Ne7:138:62/1/75;Bxc5:99:63/0/36;Nh6:91:45/3/43;a6:49:24/1/24;b6:30:17/2/11;Bd7:19:14/1/4;Na6:15:6/2/7;a5:13:6/0/7,rnbqkbnr/pp3ppp/4p3/2PpP3/8/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 5
main,anti-caro-advance-early-c5,opening,9,3,False,31,32,1800,2024-01,2026-07,blitz+rapid+classical,12208,5807,588,5813,8,4,Nd7:6081:2655/272/3154;Nc6:3883:2009/190/1684;Qa5+:779:449/57/273;Qc7:579:250/40/289;Ne7:272:113/11/148;Nh6:232:118/5/109;a6:115:59/3/53;Bxc5:109:72/1/36;b6:49:26/3/20;Bd7:41:20/3/18;a5:30:12/2/16;Na6:25:16/0/9,rnbqkbnr/pp3ppp/4p3/2PpP3/8/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 5
